DEBUG 2018-12-14 10:38:21,652 Abp.Modules.AbpModuleManager                                 - Loading Abp modules...  :行号66
DEBUG 2018-12-14 10:38:21,762 Abp.Modules.AbpModuleManager                                 - Found 11 ABP modules in total.  :行号70
DEBUG 2018-12-14 10:38:21,768 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.Web.InfoEarthFrameWebModule, InfoEarthFrame.Web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,771 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,771 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.AbpWebModule, Abp.Web, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,772 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,772 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.AbpKernelModule, Abp, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,772 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameDataModule, InfoEarthFrame.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,773 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=0.10.0.2, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,773 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameCoreModule, InfoEarthFrame.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,773 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameApplicationModule, InfoEarthFrame.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,773 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameWebApiModule, InfoEarthFrame.WebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,774 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.WebApi.AbpWebApiModule, Abp.Web.Api, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:38:21,777 Abp.Modules.AbpModuleManager                                 - 11 modules loaded.  :行号78
DEBUG 2018-12-14 10:38:22,118 Abp.EntityFramework.AbpEntityFrameworkModule                 - Registering DbContext: InfoEarthFrame.EntityFramework.InfoEarthFrameDbContext, InfoEarthFrame.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号63
DEBUG 2018-12-14 10:38:24,442 Abp.Localization.LocalizationManager                         - Initializing 3 localization sources.  :行号63
DEBUG 2018-12-14 10:38:24,556 Abp.Localization.LocalizationManager                         - Initialized localization source: Abp  :行号63
DEBUG 2018-12-14 10:38:24,560 Abp.Localization.LocalizationManager                         - Initialized localization source: AbpWeb  :行号63
DEBUG 2018-12-14 10:38:24,566 Abp.Localization.LocalizationManager                         - Initialized localization source: InfoEarthFrame  :行号63
DEBUG 2018-12-14 10:38:24,817 Abp.BackgroundJobs.BackgroundJobManager                      - Start background worker: Abp.BackgroundJobs.BackgroundJobManager  :行号95
DEBUG 2018-12-14 10:38:24,917 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IAreaAppService' with service name 'app/area'.  :行号0
DEBUG 2018-12-14 10:38:24,920 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataStyleApp.IDataStyleAppService' with service name 'app/dataStyle'.  :行号0
DEBUG 2018-12-14 10:38:24,921 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataTagApp.IDataTagAppService' with service name 'app/dataTag'.  :行号0
DEBUG 2018-12-14 10:38:24,922 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataTypeApp.IDataTypeAppService' with service name 'app/dataType'.  :行号0
DEBUG 2018-12-14 10:38:24,924 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DicDataCodeApp.IDicDataCodeAppService' with service name 'app/dicDataCode'.  :行号0
DEBUG 2018-12-14 10:38:24,925 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DicDataTypeApp.IDicDataTypeAppService' with service name 'app/dicDataType'.  :行号0
DEBUG 2018-12-14 10:38:24,927 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.GetConfig.IGetConfigAppService' with service name 'app/getConfig'.  :行号0
DEBUG 2018-12-14 10:38:24,928 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IKneeCoordinateAppService' with service name 'app/kneeCoordinate'.  :行号0
DEBUG 2018-12-14 10:38:24,929 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.LayerContentApp.ILayerContentAppService' with service name 'app/layerContent'.  :行号0
